x, y, z, T
0,0,0,0
0,0.00787402,0,0
0,0.015748,0,0
0,0.023622,0,0
0,0.0314961,0,0
0,0.0393701,0,0
0,0.0472441,0,0
0,0.0551181,0,0
0,0.0629921,0,0
0,0.0708661,0,0
0,0.0787402,0,0
0,0.0866142,0,0
0,0.0944882,0,0
0,0.102362,0,0
0,0.110236,0,0
0,0.11811,0,0
0,0.125984,0,0
0,0.133858,0,0
0,0.141732,0,0
0,0.149606,0,0
0,0.15748,0,0
0,0.165354,0,0
0,0.173228,0,0
0,0.181102,0,0
0,0.188976,0,0
0,0.19685,0,0
0,0.204724,0,0
0,0.212598,0,0
0,0.220472,0,0
0,0.228346,0,0
0,0.23622,0,0
0,0.244094,0,0
0,0.251969,0,0
0,0.259843,0,0
0,0.267717,0,0
0,0.275591,0,0
0,0.283465,0,0
0,0.291339,0,0
0,0.299213,0,0
0,0.307087,0,0
0,0.314961,0,0
0,0.322835,0,0
0,0.330709,0,0
0,0.338583,0,0
0,0.346457,0,0
0,0.354331,0,0
0,0.362205,0,0
0,0.370079,0,0
0,0.377953,0,0
0,0.385827,0,0
0,0.393701,0,0
0,0.401575,0,0
0,0.409449,0,0
0,0.417323,0,0
0,0.425197,0,0
0,0.433071,0,0
0,0.440945,0,0
0,0.448819,0,0
0,0.456693,0,0
0,0.464567,0,0
0,0.472441,0,0
0,0.480315,0,0
0,0.488189,0,0
0,0.496063,0,0
0,0.503937,0,0
0,0.511811,0,0
0,0.519685,0,0
0,0.527559,0,0
0,0.535433,0,0
0,0.543307,0,0
0,0.551181,0,0
0,0.559055,0,0
0,0.566929,0,0
0,0.574803,0,0
0,0.582677,0,0
0,0.590551,0,0
0,0.598425,0,0
0,0.606299,0,0
0,0.614173,0,0
0,0.622047,0,0
0,0.629921,0,0
0,0.637795,0,0
0,0.645669,0,0
0,0.653543,0,0
0,0.661417,0,0
0,0.669291,0,0
0,0.677165,0,0
0,0.685039,0,0
0,0.692913,0,0
0,0.700787,0,0
0,0.708661,0,0
0,0.716535,0,0
0,0.724409,0,0
0,0.732283,0,0
0,0.740157,0,0
0,0.748031,0,0
0,0.755906,0,0
0,0.76378,0,0
0,0.771654,0,0
0,0.779528,0,0
0,0.787402,0,0
0,0.795276,0,0
0,0.80315,0,0
0,0.811024,0,0
0,0.818898,0,0
0,0.826772,0,0
0,0.834646,0,0
0,0.84252,0,0
0,0.850394,0,0
0,0.858268,0,0
0,0.866142,0,0
0,0.874016,0,0
0,0.88189,0,0
0,0.889764,0,0
0,0.897638,0,0
0,0.905512,0,0
0,0.913386,0,0
0,0.92126,0,0
0,0.929134,0,0
0,0.937008,0,0
0,0.944882,0,0
0,0.952756,0,0
0,0.96063,0,0
0,0.968504,0,0
0,0.976378,0,0
0,0.984252,0,0
0,0.992126,0,0
0,1,0,0
0.00787402,0,0,0
0.00787402,0.00787402,0.000478956,0.000478956
0.00787402,0.015748,0.000957619,0.000957619
0.00787402,0.023622,0.0014357,0.0014357
0.00787402,0.0314961,0.0019129,0.0019129
0.00787402,0.0393701,0.00238893,0.00238893
0.00787402,0.0472441,0.0028635,0.0028635
0.00787402,0.0551181,0.00333632,0.00333632
0.00787402,0.0629921,0.0038071,0.0038071
0.00787402,0.0708661,0.00427555,0.00427555
0.00787402,0.0787402,0.00474139,0.00474139
0.00787402,0.0866142,0.00520432,0.00520432
0.00787402,0.0944882,0.00566407,0.00566407
0.00787402,0.102362,0.00612035,0.00612035
0.00787402,0.110236,0.00657289,0.00657289
0.00787402,0.11811,0.00702141,0.00702141
0.00787402,0.125984,0.00746563,0.00746563
0.00787402,0.133858,0.00790528,0.00790528
0.00787402,0.141732,0.0083401,0.0083401
0.00787402,0.149606,0.00876981,0.00876981
0.00787402,0.15748,0.00919415,0.00919415
0.00787402,0.165354,0.00961287,0.00961287
0.00787402,0.173228,0.0100257,0.0100257
0.00787402,0.181102,0.0104324,0.0104324
0.00787402,0.188976,0.0108327,0.0108327
0.00787402,0.19685,0.0112264,0.0112264
0.00787402,0.204724,0.0116132,0.0116132
0.00787402,0.212598,0.011993,0.011993
0.00787402,0.220472,0.0123653,0.0123653
0.00787402,0.228346,0.0127301,0.0127301
0.00787402,0.23622,0.0130872,0.0130872
0.00787402,0.244094,0.0134362,0.0134362
0.00787402,0.251969,0.013777,0.013777
0.00787402,0.259843,0.0141093,0.0141093
0.00787402,0.267717,0.014433,0.014433
0.00787402,0.275591,0.0147479,0.0147479
0.00787402,0.283465,0.0150538,0.0150538
0.00787402,0.291339,0.0153505,0.0153505
0.00787402,0.299213,0.0156377,0.0156377
0.00787402,0.307087,0.0159154,0.0159154
0.00787402,0.314961,0.0161834,0.0161834
0.00787402,0.322835,0.0164414,0.0164414
0.00787402,0.330709,0.0166894,0.0166894
0.00787402,0.338583,0.0169272,0.0169272
0.00787402,0.346457,0.0171546,0.0171546
0.00787402,0.354331,0.0173715,0.0173715
0.00787402,0.362205,0.0175778,0.0175778
0.00787402,0.370079,0.0177733,0.0177733
0.00787402,0.377953,0.017958,0.017958
0.00787402,0.385827,0.0181316,0.0181316
0.00787402,0.393701,0.0182942,0.0182942
0.00787402,0.401575,0.0184456,0.0184456
0.00787402,0.409449,0.0185857,0.0185857
0.00787402,0.417323,0.0187144,0.0187144
0.00787402,0.425197,0.0188316,0.0188316
0.00787402,0.433071,0.0189373,0.0189373
0.00787402,0.440945,0.0190315,0.0190315
0.00787402,0.448819,0.0191139,0.0191139
0.00787402,0.456693,0.0191847,0.0191847
0.00787402,0.464567,0.0192438,0.0192438
0.00787402,0.472441,0.019291,0.019291
0.00787402,0.480315,0.0193265,0.0193265
0.00787402,0.488189,0.0193501,0.0193501
0.00787402,0.496063,0.0193619,0.0193619
0.00787402,0.503937,0.0193618,0.0193618
0.00787402,0.511811,0.0193498,0.0193498
0.00787402,0.519685,0.0193261,0.0193261
0.00787402,0.527559,0.0192904,0.0192904
0.00787402,0.535433,0.019243,0.019243
0.00787402,0.543307,0.0191838,0.0191838
0.00787402,0.551181,0.0191129,0.0191129
0.00787402,0.559055,0.0190302,0.0190302
0.00787402,0.566929,0.0189359,0.0189359
0.00787402,0.574803,0.01883,0.01883
0.00787402,0.582677,0.0187126,0.0187126
0.00787402,0.590551,0.0185837,0.0185837
0.00787402,0.598425,0.0184435,0.0184435
0.00787402,0.606299,0.018292,0.018292
0.00787402,0.614173,0.0181293,0.0181293
0.00787402,0.622047,0.0179556,0.0179556
0.00787402,0.629921,0.017771,0.017771
0.00787402,0.637795,0.0175754,0.0175754
0.00787402,0.645669,0.0173692,0.0173692
0.00787402,0.653543,0.0171524,0.0171524
0.00787402,0.661417,0.0169251,0.0169251
0.00787402,0.669291,0.0166875,0.0166875
0.00787402,0.677165,0.0164396,0.0164396
0.00787402,0.685039,0.0161817,0.0161817
0.00787402,0.692913,0.0159138,0.0159138
0.00787402,0.700787,0.0156362,0.0156362
0.00787402,0.708661,0.0153491,0.0153491
0.00787402,0.716535,0.0150525,0.0150525
0.00787402,0.724409,0.0147467,0.0147467
0.00787402,0.732283,0.0144319,0.0144319
0.00787402,0.740157,0.0141083,0.0141083
0.00787402,0.748031,0.013776,0.013776
0.00787402,0.755906,0.0134353,0.0134353
0.00787402,0.76378,0.0130863,0.0130863
0.00787402,0.771654,0.0127294,0.0127294
0.00787402,0.779528,0.0123646,0.0123646
0.00787402,0.787402,0.0119923,0.0119923
0.00787402,0.795276,0.0116126,0.0116126
0.00787402,0.80315,0.0112258,0.0112258
0.00787402,0.811024,0.0108322,0.0108322
0.00787402,0.818898,0.0104319,0.0104319
0.00787402,0.826772,0.0100252,0.0100252
0.00787402,0.834646,0.00961242,0.00961242
0.00787402,0.84252,0.00919374,0.00919374
0.00787402,0.850394,0.00876943,0.00876943
0.00787402,0.858268,0.00833975,0.00833975
0.00787402,0.866142,0.00790497,0.00790497
0.00787402,0.874016,0.00746534,0.00746534
0.00787402,0.88189,0.00702115,0.00702115
0.00787402,0.889764,0.00657265,0.00657265
0.00787402,0.897638,0.00612014,0.00612014
0.00787402,0.905512,0.00566387,0.00566387
0.00787402,0.913386,0.00520415,0.00520415
0.00787402,0.92126,0.00474124,0.00474124
0.00787402,0.929134,0.00427543,0.00427543
0.00787402,0.937008,0.003807,0.003807
0.00787402,0.944882,0.00333624,0.00333624
0.00787402,0.952756,0.00286343,0.00286343
0.00787402,0.96063,0.00238888,0.00238888
0.00787402,0.968504,0.00191286,0.00191286
0.00787402,0.976378,0.00143567,0.00143567
0.00787402,0.984252,0.000957602,0.000957602
0.00787402,0.992126,0.000478948,0.000478948
0.00787402,1,0,0
0.015748,0,0,0
0.015748,0.00787402,0.000957619,0.000957619
0.015748,0.015748,0.00191465,0.00191465
0.015748,0.023622,0.00287052,0.00287052
0.015748,0.0314961,0.00382463,0.00382463
0.015748,0.0393701,0.0047764,0.0047764
0.015748,0.0472441,0.00572525,0.00572525
0.015748,0.0551181,0.00667059,0.00667059
0.015748,0.0629921,0.00761187,0.00761187
0.015748,0.0708661,0.00854848,0.00854848
0.015748,0.0787402,0.00947987,0.00947987
0.015748,0.0866142,0.0104055,0.0104055
0.015748,0.0944882,0.0113247,0.0113247
0.015748,0.102362,0.012237,0.012237
0.015748,0.110236,0.0131418,0.0131418
0.015748,0.11811,0.0140385,0.0140385
0.015748,0.125984,0.0149267,0.0149267
0.015748,0.133858,0.0158057,0.0158057
0.015748,0.141732,0.0166751,0.0166751
0.015748,0.149606,0.0175343,0.0175343
0.015748,0.15748,0.0183827,0.0183827
0.015748,0.165354,0.0192199,0.0192199
0.015748,0.173228,0.0200453,0.0200453
0.015748,0.181102,0.0208584,0.0208584
0.015748,0.188976,0.0216588,0.0216588
0.015748,0.19685,0.022446,0.022446
0.015748,0.204724,0.0232194,0.0232194
0.015748,0.212598,0.0239786,0.0239786
0.015748,0.220472,0.0247231,0.0247231
